1,(주)형산식품,경상북도 포항시 남구 대송면 대송로 2,
2,(펭귄)종합식품,경상북도 포항시 남구 구룡포읍 병포리 157번지,
3,영일만농수산(주),경상북도 포항시 남구 호미곶면 일출로687번길 30-8,054-284-2580
4,롯데쇼핑(주)롯데마트포항점,"경상북도 포항시 남구 지곡로 237, 1층 (지곡동, 롯데마트내)",
5,(주)푸드사이언스,"경상북도 포항시 남구 연일읍 동해대로 544, 1층",
6,(주)친정애농업회사법인,"경상북도 포항시 남구 효성로15번길 13-5, (효자동)",054-611-5488
7,구룡포수산업협동조합,"경상북도 포항시 남구 구룡포읍 호미로 247, 2층",054-276-1111
8,담은,"경상북도 포항시 남구 오천읍 기림로1729번길 27, 1층",
9,dyeng어연마루,경상북도 포항시 남구 연일읍 철강로107번길 17-6,
10,(주)파트너즈플러스,"경상북도 포항시 남구 양학천로88번길 13-2, 2층 (대도동)",
11,(주)대게이야기,"경상북도 포항시 남구 문예로70번길 23, 1층 29호 (대도동, 형산시장)",
12,꿈바라기,"경상북도 포항시 남구 오천읍 도솔로 17, 1층",
13,명당농원,"경상북도 포항시 남구 새천년대로 409-15, 1층 (대잠동)",
14,(주)미앤누,"경상북도 포항시 남구 포스코대로 437, 4층 (해도동)",
15,주식회사와이피씨푸드,"경상북도 포항시 남구 장기면 동해안로3936번길 72-1, 2층",054-275-2959
16,(주)포아시스,"경상북도 포항시 남구 연일읍 유강길10번길 34-2, 3층",
17,세남자떡볶이,"경상북도 포항시 남구 송림로 79, 1층 (송도동)",
18,(주)갓해물,"경상북도 포항시 남구 동해안로 5896, 1층 (일월동)",
19,농업회사법인(주)수산복해,"경상북도 포항시 남구 연일읍 유강길10번길 27, 3층",
20,굼벵이후니네농장,"경상북도 포항시 남구 운하로36번길 7, 2층 207호 (송도동)",
21,유림건강(주),"경상북도 포항시 남구 오천읍 정몽주로 539, 2층",054-292-8419
22,정화식품(주),경상북도 포항시 북구 청하면 해안로 2415-21,
23,대동식품(주),"경상북도 포항시 북구 칠성로51번길 6-1, (남빈동)",
24,(주)정화식품상사,경상북도 포항시 북구 송라면 해안로 2763,
25,(주)미가원,경상북도 포항시 북구 흥해읍 죽천리 55번지,
26,무한대식품,"경상북도 포항시 북구 죽도시장11길 6-6, (죽도동)",
27,(주)미슬바이오텍,경상북도 포항시 북구 흥해읍 한동로467번길 86-8,054-262-6823
28,(주)송이나라,"경상북도 포항시 북구 삼호로 236, (두호동)",054-247-2955
29,바겐푸드,"경상북도 포항시 북구 대신로7번길 14, (덕수동,(1층))",054-252-9770
30,농업회사법인 주식회사 이도,경상북도 포항시 북구 청하면 청하로151번길 27,054-246-7522
31,감홍원,경상북도 포항시 북구 죽장면 합덕리 312번지,
32,(주)유웰,"경상북도 포항시 북구 대신로 27, (대신동,(지하1층))",054-245-6116
33,(주)헬티온,"경상북도 포항시 북구 흥해읍 한동로 558, 408호 (한동대학교 창업보육센타 )",
34,맘씨레,"경상북도 포항시 북구 중흥로171번길 12, 1층 (죽도동)",
35,주식회사 새암,"경상북도 포항시 북구 새천년대로 1298-7, 4층 (장성동)",054-274-7080
36,죽도형제종합유통,"경상북도 포항시 북구 죽도시장11길 4-3, 1층 (죽도동)",054-247-9117
37,(주)미승에프엔디,"경상북도 포항시 북구 대해로 60, 4층 406, 407호 (죽도동)",
38,세풍상사,"경상북도 포항시 북구 창흥로36번길 36, 1층 (창포동)",
39,아엠푸드,"경상북도 포항시 북구 기계면 기계로 586, 1층",
40,포항수협월포가공공장,"경상북도 포항시 북구 청하면 해안로 2453, 1층",
41,농업회사법인주식회사죽장연,"경상북도 포항시 북구 죽장면 병보천길863번길 53-23, 1층",
